name,code,year,1yr_temp,5yr_temp,10yr_temp,20yr_temp
Mauritius,MUS,1787,,,,
Mauritius,MUS,1788,,,,
Mauritius,MUS,1789,23.035,23.14,,
Mauritius,MUS,1790,23.201,23.286,,
Mauritius,MUS,1791,23.11,23.279,,
Mauritius,MUS,1792,23.72,,,
Mauritius,MUS,1793,,,,
Mauritius,MUS,1794,,,,
Mauritius,MUS,1795,,,,
Mauritius,MUS,1796,,,,
Mauritius,MUS,1797,,,,
Mauritius,MUS,1798,,,,
Mauritius,MUS,1799,,,,
Mauritius,MUS,1800,,,,
Mauritius,MUS,1801,,,,
Mauritius,MUS,1802,,,,
Mauritius,MUS,1803,,,,
Mauritius,MUS,1804,24.147,,,
Mauritius,MUS,1805,,,,
Mauritius,MUS,1806,,,,
Mauritius,MUS,1807,,,,
Mauritius,MUS,1808,,,,
Mauritius,MUS,1809,,,,
Mauritius,MUS,1810,,,,
Mauritius,MUS,1811,,,,
Mauritius,MUS,1812,,,,
Mauritius,MUS,1813,,,,
Mauritius,MUS,1814,,,,
Mauritius,MUS,1815,,,,
Mauritius,MUS,1816,,,,
Mauritius,MUS,1817,,,,
Mauritius,MUS,1818,,,,
Mauritius,MUS,1819,,,,
Mauritius,MUS,1820,,,,
Mauritius,MUS,1821,,,,
Mauritius,MUS,1822,,,,
Mauritius,MUS,1823,,,,
Mauritius,MUS,1824,,,,
Mauritius,MUS,1825,,,,
Mauritius,MUS,1826,,,,
Mauritius,MUS,1827,,,,
Mauritius,MUS,1828,,,,
Mauritius,MUS,1829,,,,
Mauritius,MUS,1830,,,,
Mauritius,MUS,1831,,,,
Mauritius,MUS,1832,,,,
Mauritius,MUS,1833,,,,
Mauritius,MUS,1834,,,,
Mauritius,MUS,1835,,,,
Mauritius,MUS,1836,,,,
Mauritius,MUS,1837,,,,
Mauritius,MUS,1838,,,,
Mauritius,MUS,1839,,,,
Mauritius,MUS,1840,,,,
Mauritius,MUS,1841,,,,
Mauritius,MUS,1842,,,,
Mauritius,MUS,1843,,,,
Mauritius,MUS,1844,,,,
Mauritius,MUS,1845,,,,
Mauritius,MUS,1846,,,,
Mauritius,MUS,1847,,,,
Mauritius,MUS,1848,,,,
Mauritius,MUS,1849,,,,
Mauritius,MUS,1850,,,,
Mauritius,MUS,1851,,,,
Mauritius,MUS,1852,,,,
Mauritius,MUS,1853,,,,
Mauritius,MUS,1854,22.973000000000003,,,
Mauritius,MUS,1855,22.923000000000002,22.775,,
Mauritius,MUS,1856,22.698,22.733,22.899,
Mauritius,MUS,1857,22.401,22.754,22.905,
Mauritius,MUS,1858,22.669,22.812,22.886999999999997,
Mauritius,MUS,1859,23.081999999999997,22.93,22.88,
Mauritius,MUS,1860,23.213,23.018,,
Mauritius,MUS,1861,23.283,,,
Mauritius,MUS,1862,,,,
Mauritius,MUS,1863,,,,
Mauritius,MUS,1864,,,,
Mauritius,MUS,1865,,,,
Mauritius,MUS,1866,,,,
Mauritius,MUS,1867,,,,
Mauritius,MUS,1868,,,,
Mauritius,MUS,1869,,,,
Mauritius,MUS,1870,,,,
Mauritius,MUS,1871,,,,
Mauritius,MUS,1872,,,,
Mauritius,MUS,1873,,,,
Mauritius,MUS,1874,,,,
Mauritius,MUS,1875,,,,
Mauritius,MUS,1876,,,,
Mauritius,MUS,1877,,,,
Mauritius,MUS,1878,,,,
Mauritius,MUS,1879,,,,
Mauritius,MUS,1880,,,,
Mauritius,MUS,1881,,,,
Mauritius,MUS,1882,,,,
Mauritius,MUS,1883,,,,
Mauritius,MUS,1884,,,,
Mauritius,MUS,1885,,,,
Mauritius,MUS,1886,,,,
Mauritius,MUS,1887,,,,
Mauritius,MUS,1888,,,,
Mauritius,MUS,1889,,,,
Mauritius,MUS,1890,22.668000000000003,,,
Mauritius,MUS,1891,22.544,22.835,,
Mauritius,MUS,1892,22.827,22.757,22.926,
Mauritius,MUS,1893,22.775,22.848000000000003,22.978,
Mauritius,MUS,1894,22.972,22.972,23.008000000000003,23.018
Mauritius,MUS,1895,23.123,23.066999999999997,22.995,23.037
Mauritius,MUS,1896,23.163,23.151999999999997,23.103,23.063000000000002
Mauritius,MUS,1897,23.305,23.194000000000003,23.175,23.089000000000002
Mauritius,MUS,1898,23.196,23.229,23.229,23.098000000000003
Mauritius,MUS,1899,23.184,23.32,23.244,23.103
Mauritius,MUS,1900,23.298000000000002,23.338,23.225,23.097
Mauritius,MUS,1901,23.616999999999997,23.351,23.241,23.129
